message,class
บิตคอยน์ ถูก ลง ชื่อ บน ที่ อยู่ บิตคอยน์ ใน บล็อกเชน,Yes
การ สร้าง ที่ อยู่ บิตคอยน์ คือ การ สุ่ม เลือก กุญแจ ส่วน ตัว ที่ ใช้ งาน ได้ และ คำนวณ ที่ อยู่ บิตคอยน์ ที่ สัมพันธ์ กัน,Yes
บิตคอยน์ ถูก วิจารณ์ ใน แง่ ของ ความ ต้อง การ ใช้ ไฟฟ้า เพื่อ ขุด,Yes
บล็อกเชน เป็น ราย การ บัญชี แบบ สาธารณะ ที่ บันทึก การ ซื้อ ขาย บิตคอยน์,Yes
การ ใช้ ข้อมูล เข้า หลาย ข้อมูล เปรียบ เสมือน การ ใช้ เหรียญ หลาย เหรียญ ใน การ ซื้อ ขาย ด้วย เงินสด,Yes
ใน เมื่อ การ ซื้อ ขาย สามารถ มี ข้อมูล ออก หลาย ข้อมูล,Yes
เซ็น แบบ ดิจิตอล เพื่อ ให้ บิตคอยน์ ใน การ ซื้อ ขาย,Yes
ทำ ให้ เหรียญ ใช้ ไม่ ได้ และ สูญ เสีย มูลค่า,Yes
ระบบ การ พิสูจน์ งาน คู่ กับ การ ต่อ กัน ของ บล็อก ทำ ให้ การ เปลี่ยน แปลง ของ บล็อก เชน เป็น ไป ได้ ยาก มาก,Yes
 เป็น ตลาด หลักทรัพย์ ของ ประเทศไทย จัด ตั้ง ขึ้น โดย พระราชบัญญัติ ตลาด หลักทรัพย์ แห่ง ประเทศไทย,Yes
 เป็น ตลาด หลักทรัพย์ แห่ง ที่ สอง ของ ประเทศไทย,No
ดัชนี ที่ สะท้อน ความ เคลื่อน ไหว ของ ราคา หลักทรัพย์ ทั้งหมด,No
ได้ เข้า จด ทะเบียน เป็น บริษัท จด ทะเบียน ใน ตลาด หลักทรัพย์ แห่ง ประเทศไทย,No
แต่ การ ถือ วัตถุ มี ค่า เหล่านี้ ออกไป จำนวนมาก ย่อม เป็น สิ่งที่ ไม่ สะดวก และ เป็น อันตราย จึง ใช้ ธนบัตร เพื่อ เป็น สื่อ แลก เปลี่ยนแทน,No
ภายหลัง จึง เป็น การ แลกเปลี่ยน เพื่อ สิ่งของ และ บริการ ไม่ ต้อง แลก เป็น เงิน หรือ ทอง อีก,No
ธนบัตร เป็น เหมือน สัญญา ว่า จะ ให้ เงิน ไป จำนวน หนึ่ง ซึ่ง ภายหลัง สามารถ นำไป แลกคืน เป็น เงิน หรือ ทองได้ ,No
ราคา ทองคำ วันศุกร์ ที่ ผ่าน มา ปิด  ทรงตัว แทบ ไม่ เปลี่ยนแปลง ท่ามกลาง การ ซื้อขาย ที่ ผันผวน ทั้งขึ้น แรง และ ลงแรง,No
กสิกรไทย เตือน เป็น หนี้ ไม่รู้ตัว เจอ มิจฉาชีพ ลวง กู้เงิน ออนไลน์,No
ราคา ทองคำ วันศุกร์ ที่ ผ่าน มา ปิด  ทรงตัว แทบ ไม่ เปลี่ยนแปลง ท่ามกลาง การ ซื้อขาย ที่ ผันผวน ทั้งขึ้น แรง และ ลงแรง,No
เงิน บาท ปรับตัว แข็งค่า หลัง ตัวเลข การจ้างงาน สหรัฐ ต่ำกว่า คาดการณ์,No
